cfbd_game_id,start_date,week,away_team,home_team,predicted_winner,winner_confidence,model_confidence,ats_cover_probability,ats_home_cover_probability,ats_projected_home_margin,ats_margin_sd,ats_edge_points,final_away_score,final_home_score,source_type,market_provider,market_captured_at_utc,market_capture_timing,bet_type,bet_team,market_line,market_odds,stake,result,profit_loss,selection_rule,bet_number,cumulative_profit_loss
401856766,2026-08-29 16:00:00+00:00,1,North Carolina,TCU,TCU,0.8094855281738469,0.8094855281738469,,,,,,15.0,10.0,historical_reconstruction,DraftKings,2026-09-05T09:21:07.215390+00:00,historical_market_backfill,Moneyline,TCU,-310.0,-310.0,100.0,LOSS,-100.0,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,1,-100.0
401858202,2026-08-29 19:30:00+00:00,1,NC State,Virginia,Virginia,0.6284760248165757,0.6284760248165757,,,,,,8.0,34.0,historical_reconstruction,Bovada,2026-09-05T09:21:07.215390+00:00,historical_market_backfill,Moneyline,Virginia,-145.0,-145.0,100.0,WIN,68.97,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,2,-31.03
401864577,2026-08-29 21:30:00+00:00,1,Jacksonville State,North Dakota State,North Dakota State,0.7378892699663877,0.7378892699663877,,,,,,7.0,33.0,historical_reconstruction,Bovada,2026-09-05T09:21:07.215390+00:00,historical_market_backfill,Moneyline,North Dakota State,-330.0,-330.0,100.0,WIN,30.3,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,3,-0.73
401862693,2026-08-30 02:00:00+00:00,1,Memphis,UNLV,UNLV,0.748968268234034,0.748968268234034,,,,,,27.0,21.0,historical_reconstruction,DraftKings,2026-09-05T09:21:07.215390+00:00,historical_market_backfill,Moneyline,UNLV,-198.0,-198.0,100.0,LOSS,-100.0,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,4,-100.73
401856776,2026-09-04 00:00:00+00:00,1,Colorado,Georgia Tech,Georgia Tech,0.7952914788462266,0.7952914788462266,,,,,,14.0,13.0,historical_reconstruction,DraftKings,2026-09-05T09:21:07.215390+00:00,historical_market_backfill,Moneyline,Georgia Tech,-238.0,-238.0,100.0,LOSS,-100.0,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,5,-200.73
401864495,2026-09-04 22:30:00+00:00,1,San José State,Eastern Michigan,Eastern Michigan,0.8691146359994585,0.8691146359994585,,,,,,27.0,21.0,historical_reconstruction,DraftKings,2026-09-05T09:21:07.215390+00:00,historical_market_backfill,Moneyline,Eastern Michigan,-115.0,-115.0,100.0,LOSS,-100.0,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,6,-300.73
401858429,2026-09-05 00:00:00+00:00,1,Toledo,Michigan State,Toledo,0.6474378831689835,0.6474378831689835,,,,,,20.0,30.0,historical_reconstruction,Bovada,2026-09-05T09:21:07.215390+00:00,historical_market_backfill,Moneyline,Toledo,305.0,305.0,100.0,LOSS,-100.0,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,7,-400.73
401869960,2026-09-05 16:00:00+00:00,1,Liberty,James Madison,James Madison,0.901460034653177,0.901460034653177,,,,,,13.0,20.0,official_locked,DraftKings,2026-09-05T09:21:07.215390+00:00,pregame,Moneyline,James Madison,-225.0,-225.0,100.0,WIN,44.44,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,8,-356.29
401856636,2026-09-05 19:30:00+00:00,1,Baylor,Auburn,Auburn,0.7001935425134044,0.7001935425134044,,,,,,16.0,17.0,official_locked,DraftKings,2026-09-05T09:21:07.215390+00:00,pregame,Moneyline,Auburn,-285.0,-285.0,100.0,WIN,35.09,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,9,-321.2
401856777,2026-09-05 19:30:00+00:00,1,Boston College,Cincinnati,Cincinnati,0.705132521935946,0.705132521935946,,,,,,15.0,34.0,official_locked,DraftKings,2026-09-05T09:21:07.215390+00:00,pregame,Moneyline,Cincinnati,-305.0,-305.0,100.0,WIN,32.79,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,10,-288.41
401858209,2026-09-05 19:30:00+00:00,1,Tulane,Duke,Duke,0.6361690875545538,0.6361690875545538,,,,,,3.0,17.0,official_locked,DraftKings,2026-09-05T09:21:07.215390+00:00,pregame,Moneyline,Duke,-325.0,-325.0,100.0,WIN,30.77,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,11,-257.64
401862695,2026-09-05 23:00:00+00:00,1,Arkansas State,Memphis,Memphis,0.7521081346139832,0.7521081346139832,,,,,,24.0,42.0,official_locked,Bovada,2026-09-05T09:21:07.215390+00:00,pregame,Moneyline,Memphis,-340.0,-340.0,100.0,WIN,29.41,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,12,-228.23
401858210,2026-09-06 02:30:00+00:00,1,UCLA,California,California,0.7767637676746195,0.7767637676746195,,,,,,45.0,24.0,official_locked,Bovada,2026-09-05T09:21:07.215390+00:00,pregame,Moneyline,California,110.0,110.0,100.0,LOSS,-100.0,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,13,-328.23
401856661,2026-09-06 23:30:00+00:00,1,Louisville,Ole Miss,Ole Miss,0.7004812302174508,0.7004812302174508,,,,,,38.0,41.0,official_locked,DraftKings,2026-09-06T10:23:56.277410+00:00,pregame,Moneyline,Ole Miss,-258.0,-258.0,100.0,WIN,38.76,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,14,-289.47
401858214,2026-09-11 23:30:00+00:00,2,Rutgers,Boston College,Boston College,0.6914858299233662,0.6914858299233662,,,,,,21.0,28.0,live_completed,DraftKings,2026-09-06T10:23:56.277410+00:00,pregame,Moneyline,Boston College,-175.0,-175.0,100.0,WIN,57.14,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,15,-232.33
401858224,2026-09-12 16:00:00+00:00,2,Wake Forest,Purdue,Wake Forest,0.6954139722094074,0.6954139722094074,,,,,,38.0,36.0,live_completed,DraftKings,2026-09-05T09:21:07.215390+00:00,pregame,Moneyline,Wake Forest,-155.0,-155.0,100.0,WIN,64.52,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,16,-167.81
401862702,2026-09-12 16:00:00+00:00,2,South Florida,Army,Army,0.7020486383842724,0.7020486383842724,,,,,,28.0,24.0,live_completed,DraftKings,2026-09-05T09:21:07.215390+00:00,pregame,Moneyline,Army,-118.0,-118.0,100.0,LOSS,-100.0,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,17,-267.81
401856677,2026-09-12 19:30:00+00:00,2,Mississippi State,Minnesota,Minnesota,0.7210464652260841,0.7210464652260841,,,,,,38.0,13.0,live_completed,DraftKings,2026-09-06T10:23:56.277410+00:00,pregame,Moneyline,Minnesota,105.0,105.0,100.0,LOSS,-100.0,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,18,-367.81
401856810,2026-09-12 19:30:00+00:00,2,Arizona,BYU,BYU,0.67366077049431,0.67366077049431,,,,,,17.0,28.0,live_completed,DraftKings,2026-09-06T10:23:56.277410+00:00,pregame,Moneyline,BYU,-298.0,-298.0,100.0,WIN,33.56,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,19,-334.25
401858216,2026-09-12 19:30:00+00:00,2,California,Syracuse,Syracuse,0.7607421940938631,0.7607421940938631,,,,,,21.0,18.0,live_completed,DraftKings,2026-09-05T09:21:07.215390+00:00,pregame,Moneyline,Syracuse,100.0,100.0,100.0,LOSS,-100.0,moneyline_odds_-350_to_+350_and_win_probability_at_least_60pct,20,-434.25
