team,season,week,week_label,elo,previous_elo,elo_change,rank,previous_rank,rank_change,conference,classification,logo_url,color,current_week
Indiana,2026,2,Week 2,1757.2937959056403,1735.5688686835929,21.724927222047427,1,1,0,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/84.png,#990000,2
Ohio State,2026,2,Week 2,1715.5134452879545,1705.9719672628385,9.541478025116021,2,2,0,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/194.png,#ba0c2f,2
Notre Dame,2026,2,Week 2,1714.3346999478958,1694.1628909897222,20.171808958173642,3,4,1,FBS Independents,fbs,https://cdn.collegefootballdata.com/logos/500/87.png,#0c2340,2
Oregon,2026,2,Week 2,1708.6248984822814,1694.5655242616651,14.059374220616291,4,3,-1,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/2483.png,#007030,2
Miami,2026,2,Week 2,1700.6165493006483,1662.513071160066,38.10347814058241,5,7,2,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/2390.png,#f47321,2
Georgia,2026,2,Week 2,1698.6720293764013,1693.224575457329,5.447453919072359,6,5,-1,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/61.png,#ba0c2f,2
Texas Tech,2026,2,Week 2,1696.3615827286703,1691.1928261559715,5.16875657269884,7,6,-1,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2641.png,#c30020,2
Ole Miss,2026,2,Week 2,1675.4652700523905,1659.858267573581,15.607002478809363,8,9,1,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/145.png,#13294b,2
James Madison,2026,2,Week 2,1669.458929066236,1660.2578485256877,9.201080540548219,9,8,-1,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/256.png,#450084,2
Texas,2026,2,Week 2,1666.515321677154,1637.297616546036,29.21770513111801,10,11,1,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/251.png,#bf5700,2
Utah,2026,2,Week 2,1660.729581685276,1654.181022290467,6.54855939480899,11,10,-1,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/254.png,#be0000,2
Texas A&M,2026,2,Week 2,1653.9543744575,1631.8821367470584,22.07223771044164,12,12,0,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/245.png,#500000,2
Alabama,2026,2,Week 2,1652.1223719119694,1619.358465512277,32.76390639969236,13,16,3,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/333.png,#9e1b32,2
USC,2026,2,Week 2,1649.5393303781975,1608.45028791774,41.08904246045745,14,19,5,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/30.png,#990000,2
SMU,2026,2,Week 2,1638.1833977802105,1621.402948204708,16.780449575502416,15,15,0,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/2567.png,#d70000,2
BYU,2026,2,Week 2,1637.6534812888926,1630.2862112305315,7.3672700583611,16,13,-3,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/252.png,#003da5,2
North Dakota State,2026,2,Week 2,1637.6006689348062,1602.779589710495,34.821079224311234,17,21,4,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2449.png,#00583d,2
Vanderbilt,2026,2,Week 2,1634.9621498416925,1627.2364314164015,7.7257184252910065,18,14,-4,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/238.png,#000000,2
Iowa,2026,2,Week 2,1632.8085957398644,1616.913796892786,15.894798847078391,19,17,-2,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/2294.png,#000000,2
Oklahoma,2026,2,Week 2,1622.4858108032477,1607.823028534849,14.662782268398587,20,20,0,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/201.png,#841617,2
Duke,2026,2,Week 2,1621.523529362481,1587.6713579725315,33.85217138994949,21,26,5,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/150.png,#00539b,2
Penn State,2026,2,Week 2,1617.3436917982244,1587.572500466167,29.77119133205747,22,27,5,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/213.png,#001e44,2
Navy,2026,2,Week 2,1609.2826787626482,1601.3291129416234,7.9535658210247675,23,22,-1,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/2426.png,#00225b,2
Arizona,2026,2,Week 2,1608.2833637573856,1599.7856041353618,8.49775962202375,24,23,-1,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/12.png,#cc0033,2
Washington,2026,2,Week 2,1606.424628129874,1581.6004864454844,24.824141684389588,25,30,5,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/264.png,#33006f,2
Virginia,2026,2,Week 2,1604.2440014456408,1570.2225112114895,34.021490234151315,26,36,10,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/258.png,#232d4b,2
South Florida,2026,2,Week 2,1600.9149060683244,1581.331991608591,19.5829144597335,27,31,4,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/58.png,#006747,2
Old Dominion,2026,2,Week 2,1597.1625389671794,1588.5324959172528,8.630043049926599,28,25,-3,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/295.png,#043657,2
Michigan,2026,2,Week 2,1593.4951700755057,1582.2867760680404,11.208394007465358,29,28,-1,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/130.png,#00274c,2
Memphis,2026,2,Week 2,1593.195214576133,1533.8404701636528,59.35474441248016,30,60,30,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/235.png,#00498f,2
Pittsburgh,2026,2,Week 2,1590.910518956548,1554.260476450252,36.650042506295904,31,48,17,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/221.png,#003594,2
LSU,2026,2,Week 2,1586.061835262534,1535.9880871787095,50.07374808382451,32,58,26,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/99.png,#461d7c,2
New Mexico,2026,2,Week 2,1585.046353288679,1557.0311950094444,28.015158279234583,33,44,11,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/167.png,#ba0c2f,2
UNLV,2026,2,Week 2,1579.5418673162617,1570.0720143662957,9.469852949966025,34,37,3,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2439.png,#cf0a2c,2
Tulane,2026,2,Week 2,1577.3293781031616,1611.181549493111,-33.85217138994949,35,18,-17,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/2655.png,#006747,2
Illinois,2026,2,Week 2,1574.7830034194762,1556.6226518778712,18.160351541604996,36,45,9,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/356.png,#ff5f05,2
Tennessee,2026,2,Week 2,1573.391241313004,1563.6167739032908,9.774467409713225,37,40,3,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/2633.png,#ff8200,2
Arizona State,2026,2,Week 2,1570.643693878074,1561.173047086888,9.470646791186027,38,41,3,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/9.png,#ffc627,2
North Texas,2026,2,Week 2,1569.522854550036,1591.2477817720835,-21.724927222047427,39,24,-15,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/249.png,#00853e,2
Missouri,2026,2,Week 2,1568.378480927964,1558.6627657128602,9.715715215103728,40,43,3,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/142.png,#f1b82d,2
Louisville,2026,2,Week 2,1565.5862017265626,1581.193204205372,-15.607002478809363,41,32,-9,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/97.png,#c9001f,2
Iowa State,2026,2,Week 2,1564.9563298209505,1555.1890475097337,9.767282311216832,42,47,5,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/66.png,#c8102e,2
UConn,2026,2,Week 2,1564.6236423255634,1555.2290903391015,9.39455198646192,43,46,3,FBS Independents,fbs,https://cdn.collegefootballdata.com/logos/500/41.png,#000e2f,2
Kansas State,2026,2,Week 2,1561.5419234709886,1552.1603711975822,9.381552273406442,44,49,5,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2306.png,#512888,2
Boise State,2026,2,Week 2,1560.3359444067046,1574.395318627321,-14.059374220616519,45,34,-11,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/68.png,#0033a0,2
Houston,2026,2,Week 2,1559.0117102145005,1545.5849096545655,13.426800559934918,46,51,5,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/248.png,#c8102e,2
Kennesaw State,2026,2,Week 2,1558.6020896743212,1547.9051748495106,10.69691482481062,47,50,3,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/338.png,#fdbb30,2
Western Michigan,2026,2,Week 2,1556.3101785924891,1567.5185725999545,-11.208394007465358,48,38,-10,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2711.png,#532e1f,2
