team,season,week,week_label,elo,previous_elo,elo_change,rank,previous_rank,rank_change,conference,classification,logo_url,color
Indiana,2026,0,Preseason,1735.5688686835929,,,1,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/84.png,#990000
Ohio State,2026,0,Preseason,1705.9719672628385,,,2,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/194.png,#ba0c2f
Oregon,2026,0,Preseason,1694.5655242616651,,,3,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/2483.png,#007030
Notre Dame,2026,0,Preseason,1694.1628909897222,,,4,,,FBS Independents,fbs,https://cdn.collegefootballdata.com/logos/500/87.png,#0c2340
Georgia,2026,0,Preseason,1693.224575457329,,,5,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/61.png,#ba0c2f
Texas Tech,2026,0,Preseason,1691.1928261559715,,,6,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2641.png,#c30020
Miami,2026,0,Preseason,1662.513071160066,,,7,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/2390.png,#f47321
James Madison,2026,0,Preseason,1660.2578485256877,,,8,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/256.png,#450084
Ole Miss,2026,0,Preseason,1659.858267573581,,,9,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/145.png,#13294b
Utah,2026,0,Preseason,1654.181022290467,,,10,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/254.png,#be0000
Texas,2026,0,Preseason,1637.297616546036,,,11,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/251.png,#bf5700
Texas A&M,2026,0,Preseason,1631.8821367470584,,,12,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/245.png,#500000
BYU,2026,0,Preseason,1630.2862112305315,,,13,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/252.png,#003da5
Vanderbilt,2026,0,Preseason,1627.2364314164015,,,14,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/238.png,#000000
SMU,2026,0,Preseason,1621.402948204708,,,15,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/2567.png,#d70000
Alabama,2026,0,Preseason,1619.358465512277,,,16,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/333.png,#9e1b32
Iowa,2026,0,Preseason,1616.913796892786,,,17,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/2294.png,#000000
Tulane,2026,0,Preseason,1611.181549493111,,,18,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/2655.png,#006747
USC,2026,0,Preseason,1608.45028791774,,,19,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/30.png,#990000
Oklahoma,2026,0,Preseason,1607.823028534849,,,20,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/201.png,#841617
North Dakota State,2026,0,Preseason,1602.779589710495,,,21,,,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2449.png,#00583d
Navy,2026,0,Preseason,1601.3291129416234,,,22,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/2426.png,#00225b
Arizona,2026,0,Preseason,1599.7856041353618,,,23,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/12.png,#cc0033
North Texas,2026,0,Preseason,1591.2477817720835,,,24,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/249.png,#00853e
Old Dominion,2026,0,Preseason,1588.5324959172528,,,25,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/295.png,#043657
Duke,2026,0,Preseason,1587.6713579725315,,,26,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/150.png,#00539b
Penn State,2026,0,Preseason,1587.572500466167,,,27,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/213.png,#001e44
Michigan,2026,0,Preseason,1582.2867760680404,,,28,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/130.png,#00274c
TCU,2026,0,Preseason,1581.8805200012553,,,29,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2628.png,#4d1979
Washington,2026,0,Preseason,1581.6004864454844,,,30,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/264.png,#33006f
South Florida,2026,0,Preseason,1581.331991608591,,,31,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/58.png,#006747
Louisville,2026,0,Preseason,1581.193204205372,,,32,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/97.png,#c9001f
Clemson,2026,0,Preseason,1578.3657784609882,,,33,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/228.png,#f56600
Boise State,2026,0,Preseason,1574.395318627321,,,34,,,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/68.png,#0033a0
Ohio,2026,0,Preseason,1570.681585273353,,,35,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/195.png,#024230
Virginia,2026,0,Preseason,1570.2225112114895,,,36,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/258.png,#232d4b
UNLV,2026,0,Preseason,1570.0720143662957,,,37,,,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2439.png,#cf0a2c
Western Michigan,2026,0,Preseason,1567.5185725999545,,,38,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2711.png,#532e1f
Toledo,2026,0,Preseason,1567.2256952957655,,,39,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2649.png,#0b2240
Tennessee,2026,0,Preseason,1563.6167739032908,,,40,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/2633.png,#ff8200
Arizona State,2026,0,Preseason,1561.173047086888,,,41,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/9.png,#ffc627
East Carolina,2026,0,Preseason,1560.4163023310432,,,42,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/151.png,#592a8a
Missouri,2026,0,Preseason,1558.6627657128602,,,43,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/142.png,#f1b82d
New Mexico,2026,0,Preseason,1557.0311950094444,,,44,,,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/167.png,#ba0c2f
Illinois,2026,0,Preseason,1556.6226518778712,,,45,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/356.png,#ff5f05
