team,abbreviation,mascot,conference,logo_url,color,record,wins,losses,games_played,current_elo,model_rank,recent_elo_change,points_for_per_game,points_against_per_game,recent_margin_vs_expectation,momentum_score,momentum_label,schedule_strength_elo,schedule_strength_label,offensive_rating,defensive_rating,rating_note
Indiana,IU,Hoosiers,Big Ten,https://cdn.collegefootballdata.com/logos/500/84.png,#990000,1-0,1,0,1,1757.2937959056403,1.0,21.724927222047427,52.0,16.0,19.683770742186347,6.007189046648958,Building sample,1569.522854550036,Building sample,,,Not yet exported by production model
Ohio State,OSU,Buckeyes,Big Ten,https://cdn.collegefootballdata.com/logos/500/194.png,#ba0c2f,1-0,1,0,1,1715.5134452879545,2.0,9.541478025116021,56.0,3.0,26.428055366966547,7.084087742997438,Building sample,1377.8240149624394,Building sample,,,Not yet exported by production model
Notre Dame,ND,Fighting Irish,FBS Independents,https://cdn.collegefootballdata.com/logos/500/87.png,#0c2340,1-0,1,0,1,1714.3346999478958,3.0,20.171808958173642,41.0,13.0,5.135462894455639,2.2924561715225917,Building sample,1453.788383076508,Building sample,,,Not yet exported by production model
Oregon,ORE,Ducks,Big Ten,https://cdn.collegefootballdata.com/logos/500/2483.png,#007030,1-0,1,0,1,1708.6248984822814,4.0,14.059374220616291,34.0,27.0,-8.554916153408776,-1.4357603273213795,Building sample,1560.3359444067046,Building sample,,,Not yet exported by production model
Miami,MIA,Hurricanes,ACC,https://cdn.collegefootballdata.com/logos/500/2390.png,#f47321,1-0,1,0,1,1700.6165493006483,5.0,38.10347814058241,45.0,6.0,37.39410923521664,11.25370121583328,Building sample,1449.4263501618034,Building sample,,,Not yet exported by production model
Georgia,UGA,Bulldogs,SEC,https://cdn.collegefootballdata.com/logos/500/61.png,#ba0c2f,1-0,1,0,1,1698.6720293764013,6.0,5.447453919072359,63.0,3.0,36.563625638446254,9.41327910556518,Building sample,,Building sample,,,Not yet exported by production model
Texas Tech,TTU,Red Raiders,Big 12,https://cdn.collegefootballdata.com/logos/500/2641.png,#c30020,1-0,1,0,1,1696.3615827286703,7.0,5.16875657269884,33.0,10.0,-1.4716275964580632,-0.10946907047957383,Building sample,,Building sample,,,Not yet exported by production model
Ole Miss,MISS,Rebels,SEC,https://cdn.collegefootballdata.com/logos/500/145.png,#13294b,1-0,1,0,1,1675.4652700523905,8.0,15.607002478809363,41.0,38.0,-7.717412004844302,-1.1490028772706073,Building sample,1565.5862017265626,Building sample,,,Not yet exported by production model
James Madison,JMU,Dukes,Sun Belt,https://cdn.collegefootballdata.com/logos/500/256.png,#450084,1-0,1,0,1,1669.458929066236,9.0,9.201080540548219,20.0,13.0,-14.349000084933738,-3.1271959942060237,Building sample,1445.9725012455792,Building sample,,,Not yet exported by production model
Texas,TEX,Longhorns,SEC,https://cdn.collegefootballdata.com/logos/500/251.png,#bf5700,1-0,1,0,1,1666.515321677154,10.0,29.21770513111801,59.0,7.0,41.297893011528686,11.785358509438073,Building sample,1505.9141167852154,Building sample,,,Not yet exported by production model
Utah,UTAH,Utes,Big 12,https://cdn.collegefootballdata.com/logos/500/254.png,#be0000,1-0,1,0,1,1660.729581685276,11.0,6.54855939480899,66.0,14.0,34.747525140804555,9.014309254941589,Building sample,,Building sample,,,Not yet exported by production model
Texas A&M,TA&M,Aggies,SEC,https://cdn.collegefootballdata.com/logos/500/245.png,#500000,1-0,1,0,1,1653.9543744575,12.0,22.07223771044164,50.0,0.0,35.495928741659,9.977594070936831,Building sample,1451.4597308110424,Building sample,,,Not yet exported by production model
Alabama,ALA,Crimson Tide,SEC,https://cdn.collegefootballdata.com/logos/500/333.png,#9e1b32,1-0,1,0,1,1652.1223719119694,13.0,32.76390639969236,48.0,10.0,30.162737057676964,9.178879584403859,Building sample,1527.6523959313508,Building sample,,,Not yet exported by production model
USC,USC,Trojans,Big Ten,https://cdn.collegefootballdata.com/logos/500/30.png,#990000,2-0,2,0,2,1649.5393303781975,14.0,41.08904246045745,40.5,13.0,13.83206196795474,5.512467615011557,Surging,1463.1295336136195,Soft,,,Not yet exported by production model
SMU,SMU,Mustangs,ACC,https://cdn.collegefootballdata.com/logos/500/2567.png,#d70000,1-0,1,0,1,1638.1833977802105,15.0,16.780449575502416,27.0,24.0,3.551161770267278,1.7268129213419403,Building sample,1469.6144787585583,Building sample,,,Not yet exported by production model
BYU,BYU,Cougars,Big 12,https://cdn.collegefootballdata.com/logos/500/252.png,#003da5,1-0,1,0,1,1637.6534812888926,16.0,7.3672700583611,63.0,7.0,35.80165368361543,9.318776923821911,Building sample,,Building sample,,,Not yet exported by production model
North Dakota State,NDSU,Bison,Mountain West,https://cdn.collegefootballdata.com/logos/500/2449.png,#00583d,2-0,2,0,2,1637.6006689348062,17.0,34.821079224311234,35.5,3.5,15.133980441246582,5.524549071527208,Surging,1512.0758398952134,Average,,,Not yet exported by production model
Vanderbilt,VAN,Commodores,SEC,https://cdn.collegefootballdata.com/logos/500/238.png,#000000,1-0,1,0,1,1634.9621498416925,18.0,7.7257184252910065,28.0,9.0,-0.8071486449431298,0.18449876002876786,Building sample,,Building sample,,,Not yet exported by production model
Iowa,IOWA,Hawkeyes,Big Ten,https://cdn.collegefootballdata.com/logos/500/2294.png,#000000,1-0,1,0,1,1632.8085957398644,19.0,15.894798847078391,40.0,0.0,21.514562850298717,6.173380654928598,Building sample,1389.5657847376483,Building sample,,,Not yet exported by production model
Oklahoma,OU,Sooners,SEC,https://cdn.collegefootballdata.com/logos/500/201.png,#841617,1-0,1,0,1,1622.4858108032477,20.0,14.662782268398587,51.0,0.0,28.3246320392657,7.814297123236354,Building sample,1354.7115045358778,Building sample,,,Not yet exported by production model
Duke,DUKE,Blue Devils,ACC,https://cdn.collegefootballdata.com/logos/500/150.png,#00539b,1-0,1,0,1,1621.523529362481,21.0,33.85217138994949,17.0,3.0,7.47916117821174,3.5623988640504094,Building sample,1577.3293781031616,Building sample,,,Not yet exported by production model
Penn State,PSU,Nittany Lions,Big Ten,https://cdn.collegefootballdata.com/logos/500/213.png,#001e44,1-0,1,0,1,1617.3436917982244,22.0,29.77119133205747,45.0,0.0,29.69502526641938,8.912315883207718,Building sample,1467.5779881294177,Building sample,,,Not yet exported by production model
