bet_number,bet_type,game_id,week,start_date,away_team,home_team,selection,result,stake,profit_loss,model_probability,market_odds,source_model,market_line,cumulative_profit_loss
1,Moneyline,401858214,2,2026-09-11 23:30:00+00:00,Rutgers,Boston College,Boston College,WIN,100.0,57.14285714285714,0.7029038002077528,1.5714285714285714,V3,,57.14285714285714
2,Spread,401858214,2,2026-09-11 23:30:00+00:00,Rutgers,Boston College,Boston College,WIN,100.0,100.0,0.7029038002077528,2.0,V3,-3.5,100.0
3,Moneyline,401856679,2,2026-09-12 16:00:00+00:00,Oklahoma,Michigan,Oklahoma,LOSS,100.0,-100.0,0.6357745912072488,1.4878048780487805,V3,,-42.85714285714286
4,Spread,401856679,2,2026-09-12 16:00:00+00:00,Oklahoma,Michigan,Michigan,WIN,100.0,100.0,0.6357745912072488,2.0,V3,4.5,200.0
5,Moneyline,401856683,2,2026-09-12 16:00:00+00:00,Arizona State,Texas A&M,Texas A&M,WIN,100.0,15.384615384615374,0.7880081698018633,1.1538461538461537,V3,,-27.47252747252749
6,Spread,401856683,2,2026-09-12 16:00:00+00:00,Arizona State,Texas A&M,Texas A&M,WIN,100.0,100.0,0.7880081698018633,2.0,V3,-14.5,300.0
7,Moneyline,401856781,2,2026-09-12 16:00:00+00:00,Washington State,Kansas State,Kansas State,WIN,100.0,10.000000000000009,0.8784694800187421,1.1,V3,,-17.472527472527478
8,Spread,401856781,2,2026-09-12 16:00:00+00:00,Washington State,Kansas State,Kansas State,WIN,100.0,100.0,0.8784694800187421,2.0,V3,-16.5,400.0
9,Moneyline,401856782,2,2026-09-12 16:00:00+00:00,Oregon,Oklahoma State,Oregon,LOSS,100.0,-100.0,0.8820061121265999,1.0476190476190477,V3,,-117.47252747252747
10,Spread,401856782,2,2026-09-12 16:00:00+00:00,Oregon,Oklahoma State,Oklahoma State,WIN,100.0,100.0,0.8820061121265999,2.0,V3,22.5,500.0
11,Moneyline,401858221,2,2026-09-12 16:00:00+00:00,Old Dominion,Virginia Tech,Virginia Tech,WIN,100.0,15.999999999999993,0.6497360724702477,1.16,V3,,-101.47252747252747
12,Spread,401858221,2,2026-09-12 16:00:00+00:00,Old Dominion,Virginia Tech,Old Dominion,LOSS,100.0,-100.0,0.6497360724702477,2.0,V3,-14.5,400.0
13,Moneyline,401858224,2,2026-09-12 16:00:00+00:00,Wake Forest,Purdue,Wake Forest,WIN,100.0,64.51612903225805,0.5865334450266839,1.6451612903225805,V3,,-36.956398440269425
14,Spread,401858224,2,2026-09-12 16:00:00+00:00,Wake Forest,Purdue,Purdue,WIN,100.0,100.0,0.5865334450266839,2.0,V3,3.5,500.0
15,Moneyline,401858442,2,2026-09-12 16:00:00+00:00,Penn State,Temple,Penn State,WIN,100.0,4.761904761904767,0.7265027945991428,1.0476190476190477,V3,,-32.19449367836466
16,Spread,401858442,2,2026-09-12 16:00:00+00:00,Penn State,Temple,Temple,WIN,100.0,100.0,0.7265027945991428,2.0,V3,21.5,600.0
17,Moneyline,401862702,2,2026-09-12 16:00:00+00:00,South Florida,Army,Army,LOSS,100.0,-100.0,0.7886458274665993,1.847457627118644,V3,,-132.19449367836467
18,Spread,401862702,2,2026-09-12 16:00:00+00:00,South Florida,Army,Army,LOSS,100.0,-100.0,0.7886458274665993,2.0,V3,-1.5,500.0
