team,season,week,week_label,elo,previous_elo,elo_change,rank,previous_rank,rank_change,opponent,venue,result,classification,game_id
North Carolina,2026,1,Week 1,1398.0,1380.0,18.0,71.0,78.0,7.0,TCU,away,W,fbs,401856766
TCU,2026,1,Week 1,1595.0,1613.0,-18.0,30.0,27.0,-3.0,North Carolina,home,L,fbs,401856766
San José State,2026,1,Week 1,1406.0,1411.0,-5.0,69.0,69.0,0.0,USC,away,L,fbs,401864494
USC,2026,1,Week 1,1752.0,1747.0,5.0,16.0,13.0,-3.0,San José State,home,W,fbs,401864494
NC State,2026,1,Week 1,1506.0,1570.0,-64.0,52.0,34.0,-18.0,Virginia,away,L,fbs,401858202
Virginia,2026,1,Week 1,1655.0,1591.0,64.0,26.0,30.0,4.0,NC State,home,W,fbs,401858202
Jacksonville State,2026,1,Week 1,1428.0,1494.0,-66.0,63.0,57.0,-6.0,North Dakota State,away,L,fbs,401864577
North Dakota State,2026,1,Week 1,1566.0,1500.0,66.0,38.0,54.0,16.0,Jacksonville State,home,W,fbs,401864577
Eastern Michigan,2026,1,Week 1,1360.0,1326.0,34.0,77.0,86.0,9.0,Sacramento State,home,W,fbs,401866408
Sacramento State,2026,1,Week 1,1466.0,1500.0,-34.0,57.0,54.0,-3.0,Eastern Michigan,away,L,fbs,401866408
Hawai'i,2026,1,Week 1,1449.0,1472.0,-23.0,59.0,62.0,3.0,Stanford,away,L,fbs,401858201
Stanford,2026,1,Week 1,1413.0,1390.0,23.0,66.0,74.0,8.0,Hawai'i,home,W,fbs,401858201
Florida State,2026,1,Week 1,1551.0,1537.0,14.0,44.0,46.0,2.0,New Mexico State,home,W,fbs,401864570
New Mexico State,2026,1,Week 1,1267.0,1281.0,-14.0,89.0,90.0,1.0,Florida State,away,L,fbs,401864570
Memphis,2026,1,Week 1,1541.0,1526.0,15.0,45.0,49.0,4.0,UNLV,away,W,fbs,401862693
UNLV,2026,1,Week 1,1566.0,1581.0,-15.0,38.0,31.0,-7.0,Memphis,home,L,fbs,401862693
Massachusetts,2026,1,Week 1,1076.0,978.0,98.0,99.0,101.0,2.0,Rutgers,away,W,fbs,401858423
Rutgers,2026,1,Week 1,1381.0,1479.0,-98.0,74.0,59.0,-15.0,Massachusetts,home,L,fbs,401858423
Akron,2026,1,Week 1,929.0,925.0,4.0,102.0,102.0,0.0,Wake Forest,away,L,fbs,401858204
Wake Forest,2026,1,Week 1,1516.0,1520.0,-4.0,49.0,50.0,1.0,Akron,home,W,fbs,401858204
Colorado,2026,1,Week 1,1406.0,1396.0,10.0,69.0,73.0,4.0,Georgia Tech,away,W,fbs,401856776
Georgia Tech,2026,1,Week 1,1553.0,1563.0,-10.0,43.0,37.0,-6.0,Colorado,home,L,fbs,401856776
Illinois,2026,1,Week 1,1595.0,1563.0,32.0,30.0,37.0,7.0,UAB,home,W,fbs,401858424
UAB,2026,1,Week 1,1411.0,1443.0,-32.0,68.0,64.0,-4.0,Illinois,away,L,fbs,401858424
Eastern Michigan,2026,1,Week 1,1353.0,1360.0,-7.0,79.0,83.0,4.0,San José State,home,L,fbs,401864495
San José State,2026,1,Week 1,1413.0,1406.0,7.0,66.0,70.0,4.0,Eastern Michigan,away,W,fbs,401864495
Oklahoma,2026,1,Week 1,1799.0,1706.0,93.0,13.0,17.0,4.0,UTEP,home,W,fbs,401856664
UTEP,2026,1,Week 1,1163.0,1256.0,-93.0,97.0,94.0,-3.0,Oklahoma,away,L,fbs,401856664
Michigan State,2026,1,Week 1,1468.0,1439.0,29.0,56.0,65.0,9.0,Toledo,home,W,fbs,401858429
Toledo,2026,1,Week 1,1568.0,1597.0,-29.0,37.0,29.0,-8.0,Michigan State,away,L,fbs,401858429
Miami,2026,1,Week 1,1901.0,1842.0,59.0,5.0,5.0,0.0,Stanford,away,W,fbs,401858206
Stanford,2026,1,Week 1,1354.0,1413.0,-59.0,78.0,68.0,-10.0,Miami,home,L,fbs,401858206
Fresno State,2026,1,Week 1,1449.0,1532.0,-83.0,59.0,47.0,-12.0,USC,away,L,fbs,401858436
USC,2026,1,Week 1,1835.0,1752.0,83.0,11.0,11.0,0.0,Fresno State,home,W,fbs,401858436
Alabama,2026,1,Week 1,1823.0,1738.0,85.0,12.0,15.0,3.0,East Carolina,home,W,fbs,401856634
East Carolina,2026,1,Week 1,1477.0,1562.0,-85.0,54.0,39.0,-15.0,Alabama,away,L,fbs,401856634
Houston,2026,1,Week 1,1514.0,1508.0,6.0,51.0,51.0,0.0,Oregon State,home,W,fbs,401856778
Oregon State,2026,1,Week 1,1260.0,1266.0,-6.0,91.0,93.0,2.0,Houston,away,L,fbs,401856778
Coastal Carolina,2026,1,Week 1,1270.0,1275.0,-5.0,87.0,91.0,4.0,West Virginia,away,L,fbs,401856780
West Virginia,2026,1,Week 1,1365.0,1360.0,5.0,76.0,83.0,7.0,Coastal Carolina,home,W,fbs,401856780
Indiana,2026,1,Week 1,2113.0,2064.0,49.0,1.0,1.0,0.0,North Texas,home,W,fbs,401858425
North Texas,2026,1,Week 1,1590.0,1639.0,-49.0,33.0,23.0,-10.0,Indiana,away,L,fbs,401858425
Nebraska,2026,1,Week 1,1592.0,1538.0,54.0,32.0,45.0,13.0,Ohio,home,W,fbs,401858430
Ohio,2026,1,Week 1,1318.0,1372.0,-54.0,84.0,80.0,-4.0,Nebraska,away,L,fbs,401858430
James Madison,2026,1,Week 1,1776.0,1770.0,6.0,14.0,10.0,-4.0,Liberty,home,W,fbs,401869960
Liberty,2026,1,Week 1,1697.0,1703.0,-6.0,20.0,18.0,-2.0,James Madison,away,L,fbs,401869960
Miami (OH),2026,1,Week 1,1259.0,1364.0,-105.0,92.0,81.0,-11.0,Pittsburgh,away,L,fbs,401858207
Pittsburgh,2026,1,Week 1,1681.0,1576.0,105.0,22.0,33.0,11.0,Miami (OH),home,W,fbs,401858207
Ball State,2026,1,Week 1,1112.0,1173.0,-61.0,98.0,98.0,0.0,Ohio State,away,L,fbs,401858432
Ohio State,2026,1,Week 1,1986.0,1925.0,61.0,3.0,3.0,0.0,Ball State,home,W,fbs,401858432
Kent State,2026,1,Week 1,1056.0,1167.0,-111.0,101.0,99.0,-2.0,South Carolina,away,L,fbs,401856665
South Carolina,2026,1,Week 1,1742.0,1631.0,111.0,18.0,24.0,6.0,Kent State,home,W,fbs,401856665
Auburn,2026,1,Week 1,1613.0,1613.0,0.0,27.0,27.0,0.0,Baylor,home,W,fbs,401856636
Baylor,2026,1,Week 1,1506.0,1506.0,0.0,52.0,52.0,0.0,Auburn,away,L,fbs,401856636
Texas,2026,1,Week 1,1913.0,1784.0,129.0,4.0,9.0,5.0,Texas State,home,W,fbs,401856667
Texas State,2026,1,Week 1,1441.0,1570.0,-129.0,61.0,34.0,-27.0,Texas,away,L,fbs,401856667
Boston College,2026,1,Week 1,1370.0,1406.0,-36.0,75.0,70.0,-5.0,Cincinnati,away,L,fbs,401856777
Cincinnati,2026,1,Week 1,1516.0,1480.0,36.0,49.0,58.0,9.0,Boston College,home,W,fbs,401856777
Duke,2026,1,Week 1,1607.0,1581.0,26.0,28.0,31.0,3.0,Tulane,home,W,fbs,401858209
