game_id,season,week,elo_difference,rating_difference,state_maturity,side,team,opponent,actual_points,actual_40_plus,actual_10_or_less,expected_points,prob_40_plus,prob_10_or_less,expected_drives,ppd,td_rate,fg_rate,turnover_rate,success_rate,ppa,explosive_rate,yards_per_drive,matchup_ratio
401282714,2021,1,75.0,0.0,0.0,home,Illinois,Nebraska,30.0,0.0,0.0,28.305,0.16,0.056,11.533,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282714,2021,1,75.0,0.0,0.0,away,Nebraska,Illinois,22.0,0.0,0.0,27.536,0.147,0.065,11.498,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401286187,2021,1,75.0,0.0,0.0,home,Fresno State,UConn,45.0,1.0,0.0,28.527,0.162,0.065,11.502,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401286187,2021,1,75.0,0.0,0.0,away,UConn,Fresno State,0.0,0.0,1.0,28.108,0.162,0.074,11.466,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309833,2021,1,75.0,0.0,0.0,home,UCLA,Hawai'i,44.0,1.0,0.0,27.93,0.15,0.065,11.485,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309833,2021,1,75.0,0.0,0.0,away,Hawai'i,UCLA,10.0,0.0,1.0,27.588,0.16,0.067,11.506,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282049,2021,1,75.0,0.0,0.0,home,New Mexico State,UTEP,3.0,0.0,1.0,27.432,0.145,0.07,11.48,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282049,2021,1,75.0,0.0,0.0,away,UTEP,New Mexico State,30.0,0.0,0.0,27.94,0.151,0.069,11.492,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401310693,2021,1,75.0,0.0,0.0,home,San José State,Southern Utah,45.0,1.0,0.0,27.448,0.144,0.069,11.493,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401310693,2021,1,75.0,0.0,0.0,away,Southern Utah,San José State,14.0,0.0,0.0,28.033,0.158,0.054,11.487,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282050,2021,1,0.0,0.0,0.0,home,Jacksonville State,UAB,0.0,0.0,1.0,28.015,0.148,0.062,11.509,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282050,2021,1,0.0,0.0,0.0,away,UAB,Jacksonville State,31.0,0.0,0.0,28.104,0.143,0.061,11.512,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401300995,2021,1,75.0,0.0,0.0,home,UCF,Boise State,36.0,0.0,0.0,27.442,0.138,0.061,11.483,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401300995,2021,1,75.0,0.0,0.0,away,Boise State,UCF,31.0,0.0,0.0,28.759,0.194,0.061,11.555,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309540,2021,1,75.0,0.0,0.0,home,Ball State,Western Illinois,31.0,0.0,0.0,28.41,0.154,0.062,11.523,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309540,2021,1,75.0,0.0,0.0,away,Western Illinois,Ball State,21.0,0.0,0.0,27.806,0.155,0.064,11.445,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309542,2021,1,75.0,0.0,0.0,home,Buffalo,Wagner,69.0,1.0,0.0,28.439,0.169,0.054,11.511,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309542,2021,1,75.0,0.0,0.0,away,Wagner,Buffalo,7.0,0.0,1.0,28.503,0.168,0.056,11.514,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401328545,2021,1,75.0,0.0,0.0,home,Coastal Carolina,The Citadel,52.0,1.0,0.0,28.192,0.185,0.059,11.514,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401328545,2021,1,75.0,0.0,0.0,away,The Citadel,Coastal Carolina,14.0,0.0,0.0,28.648,0.18,0.056,11.419,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282607,2021,1,75.0,0.0,0.0,home,NC State,South Florida,45.0,1.0,0.0,27.431,0.153,0.064,11.461,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
