bucket,games,predicted,actual
"(-0.001, 0.1]",13,0.06728524269087516,0.15384615384615385
"(0.1, 0.2]",34,0.16110902589928489,0.14705882352941177
"(0.2, 0.3]",61,0.24313592405830395,0.2786885245901639
"(0.3, 0.4]",63,0.3459227580272706,0.31746031746031744
"(0.4, 0.5]",90,0.45018185436133623,0.4666666666666667
"(0.5, 0.6]",115,0.5477179885588463,0.5565217391304348
"(0.6, 0.7]",141,0.6481198322792913,0.6170212765957447
"(0.7, 0.8]",139,0.7512864465700654,0.7553956834532374
"(0.8, 0.9]",151,0.852735212684593,0.8940397350993378
"(0.9, 1.0]",127,0.938107171576109,0.9921259842519685
